content,category
"Europe asks Asia for euro help

European leaders say Asian states must let their currencies rise against the US dollar to ease pressure on the euro.

The European single currency has shot up to successive all-time highs against the dollar over the past few months. Tacit approval from the White House for the weaker greenback, which could help counteract huge deficits, has helped trigger the move. But now Europe says the euro has had enough, and Asia must now share some of the burden.

China is seen as the main culprit, with exports soaring up 35% in 2004 partly on the back of a currency pegged to the dollar. ""Asia should engage in greater currency flexibility,"" said French finance minister Herve Gaymard, after a meeting with his German counterpart Hans Eichel. Markets responded by pushing the euro lower, in the expectation that the rhetoric - and the pressure - is unlikely to ease ahead of a meeting of the G7 industrialised countries next week. Early on Tuesday morning, the dollar had edged higher to 1.3040 euros. The yen, meanwhile, had strengthened to 102.975 against the dollar by 0730 GMT.
",business
"Low-cost airlines hit Eurotunnel

Channel Tunnel operator Eurotunnel has seen sales fall in the face of the upsurge in European low-cost airlines.

The firm said sales were down 4% in 2004 to 789m euros ($1.03bn; £548m). ""The impact of the development of no-frills airlines is being felt ever more strongly,"" said chief executive Jean-Louis Raymond. Income from its vehicle-carrying shuttle services fell 7%, although 15% more passengers meant a 2% rise in railway revenue.

The cross-Channel truck market is improving, Eurotunnel said, but warned that it was not benefiting since much of the traffic was in containers destined for ports. The passenger-only trains which use the tunnel are run by a separate company, Eurostar.

Eurotunnel is still struggling with debts of more than 6bn euros. The company is currently kept afloat by the 200-plus banks to whom it owes the money. A shareholder revolt threw out the old board in 2004. But the BBC's business editor, Jeff Randall, said the banks could yet step in and take over altogether. ""At the moment it can't even service the interest on its debt,"" he said. ""This is a company in the departure lounge of life.""
",business
"Gazprom 'in $36m back-tax claim'

The nuclear unit of Russian energy giant Gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.

Vedomosti newspaper reported that Russian authorities made the demand at the end of last year. The paper added that most of the taxes claimed are linked to the company's export activity. Gazprom, the biggest gas company in the world, took over nuclear fuel giant Atomstroieksport in October 2004. The main project of Atomstroieksport is the building of a nuclear plant in Iran, which has been a source of tension between Russia and the US.

Gazprom is one of the key players in the complex Russian energy market, where the government of Vladimir Putin has made moves to regain state influence over the sector. Gazprom is set to merge with state oil firm Rosneft, the company that eventually acquired Yuganskneftegas, the main unit of embattled oil giant Yukos. Claims for back-taxes was a tool used against Yukos, and led to the enforced sale Yuganskneftegas. Some analysts fear the Kremlin will continue to use these sort of moves to boost the efforts of the state to regain control over strategically important sectors such as oil.
",business
"European losses hit GM's profits

General Motors (GM) saw its net profits fall 37% in the last quarter of 2004, as it continued to be hit by losses at its European operations.

The US giant earned $630m (£481.5m) in the October-to-December period, down from $1bn in the fourth quarter of 2003. GM's revenues rose 4.7% to $51.2bn from $48.8bn a year earlier. The fourth-quarter losses at General Motors Europe totalled $345m, up from $66m during the same period in 2003. GM's main European brands are Opel and Vauxhall.

Excluding special items, GM's global income from continuing operations totalled $569m during the quarter, down from $838m a year earlier. The results were in line with Wall Street expectations and shares in GM rose by about 1% in pre-market trade. For the whole of 2004, GM earned $3.7bn, down from $3.8bn in 2003, while its annual revenue rose 4.5% to $193bn. GM said its profits were also hit by higher healthcare costs in the US. ""GM reported solid overall results in 2004, despite challenging competitive conditions in many markets around the globe,"" GM chairman and chief executive Rick Wagoner said in a statement. The company recently announced that it expected profits in 2005 to be lower than in 2004.
",business
"Kraft cuts snack ads for children

Kraft plans to cut back on advertising of products like Oreo cookies and sugary Kool-Aid drinks as part of an effort to promote healthy eating.

The largest US food maker will also add a label to its more nutritional and low-fat brands to promote the benefits. Kraft rival PepsiCo began a similar labelling initiative last year. The moves come as the firms face criticism from consumer groups concerned at rising levels of obesity in US children. Major food manufacturers have recently been reformulating the content of some calorie-heavy products.

Kraft's new advertising policy, which covers advertising on TV, radio and in print publications, is aimed at children between the ages of six and 11. It means commercials for some of its most famous snacks and cereals shown during early morning cartoon shows on TV will now be replaced by food and drink qualifying for Kraft's new ""Sensible Solution"" label. But the firm said it would continue to advertise all its products in media seen by parents and ""all family"" audiences. ""We're working on ways to encourage both adults and children to eat wisely by selecting more nutritionally balanced diets,"" said Lance Friedmann, Kraft senior vice president.
",business
"Algeria hit by further gas riots

Algeria suffered a weekend of violent protests against government plans to raise gas prices, local press reports.

Demonstrators in a number of regions blocked roads, attacked public buildings and overturned vehicles, newspapers including El Watan reported. The price of butane gas, a vital fuel for cooking, has risen to 200 dinars ($2.77) per canister from 170 dinars. Even before the hike, failing economic conditions had been fanning resentment in some of Algeria's poorest regions.

Demonstrators took to the streets last week when the cost change was first announced, but police seemed to have restored order. According to local press reports, trouble flared up again on Saturday and carried on into Sunday. El Watan said that a number of hot spots centred on the villages and towns close to Bouira, about 100 kilometres (60 miles) south of the capital Algiers. Among the other main areas affected were the western Tiaret region and Sidi Ammar in the east of the country, Agence France Presse (AFP) reported. Riots also flared up in the Maghnia region close to the border with Morocco in the west, AFP said. Butane gas and fuel oil are used as the main source of fuel to heat homes and cook food in Algeria's remote mountain areas.
",business
"UK young top Euro earnings league

British children enjoy the highest average annual income in Europe - more than double that of Spanish or Italian youngsters, a report suggests.

Children in the UK between the ages of 10 and 17 had an annual income of £775, said market analyst Datamonitor. They use ""pester power"" to get their parents to stump up nearly a third of this income, the report said. As for how they spend their cash, the bulk goes on personal care, soft drinks and food, Datamonitor said.

Datamonitor adds that British teenagers are keen on personal care because it helps them combine two seemingly contradictory emotional needs - the desire to fit in and the desire to express their individuality.

British teenage girls, compared to their counterparts in seven European countries, are the most keen to use make-up products. Nearly three out of four girls said they used make-up. According to the Datamonitor report the trend marked British teenagers out as ""particularly important to cosmetics manufacturers as they are likely to experiment more with brands and products and form long-term beauty routines"". And the good times are likely to keep rolling for British children, as the report predicts that they will still be topping the earnings table in 2008.
",business
"Saudi NCCI's shares soar

Shares in Saudi Arabia's National Company for Cooperative Insurance (NCCI) soared on their first day of trading in Riyadh.

They were trading 84% above the offer price on Monday, changing hands at 372 riyals ($99; £53) after topping 400 early in the day. Demand for the insurer's debut shares was strong - 12 times what was on sale. The listing was part of the country's plans to open up its insurance market and boost demand in the sector. Deregulation is expected to boost demand for accident and damage cover.

Previously, only NCCI has been legally allowed to offer insurance products within Saudi Arabia. However, the authorities have turned a blind eye to the many other firms selling insurance. Saudi Arabia now wants a fully functioning insurance industry and is introducing legislation that will clamp down on unauthorised companies. Policy-makers also want to make having insurance more of a requirement, but first have to take steps to boost public confidence in the system, analysts said. As a result, NCCI is being developed as the industry's flagship firm - publicly-listed, with audited accounts. Saudi Arabia sold 7 million NCCI shares, or about 70% of the company's total capital last month. More than 800,000 applicants got 9 shares each for 205 riyals apiece.
",business
"Rusedski forced out in Marseille

Greg Rusedski was forced to withdraw from the Open 13 in Marseille on Thursday with a rib injury.

The British number two had been scheduled to play qualifier Sebastien de Chaunac, who beat world number five Guillermo Coria 6-4 7-5 in round one. But Rusedski was unable to take to the court because of a problem with the left-hand side of his rib-cage. American Taylor Dent caused a shock with a 7-6 6-2 victory over second seed David Nalbandian. But third seed Joachim Johansson made it through after beating Frenchman Gilles Simon 7-6 6-3 while in the first match of the day, sixth seed Feliciano Lopez defeated Ivo Karlovic. There were also wins for Slovakia's Karol Beck and Croatian duo Ivan Ljubicic and Mario Ancic.
",sport
"Veteran Martinez wins Thai title

Conchita Martinez won her first title in almost five years with victory over Anna-Lena Groenefeld at the Volvo Women's Open in Pattaya, Thailand.

The 32-year-old Spaniard came through 6-3 3-6 6-3 for her first title since Berlin in 2000. ""It feels really good,"" said Martinez, who is playing her last season on the Tour. ""To come through like that in an important match feels good. ""It's been nearly five years and I didn't think I could do it."" Groenefeld was the more powerful player but could not match her opponent's relentless accuracy. ""It was my first final, a new experience,"" said the German. ""I think she played a good match, a tough match, but I tried to stay in there. I think the whole week was good for me.""
",sport
"Injury sidelines Philippoussis

Mark Philippoussis withdrew from the Sydney International tennis tournament as expected on Sunday after suffering a groin injury during the Hopman Cup.

His participation in the Australian Open, which begins on 17 January in Melbourne, also remains in doubt. Defending women's champion Justine Henin-Hardenne is also out of the Sydney event because of a knee injury. In the only main draw men's or women's singles match on Sunday, Nathalie Dechy beat American Lisa Raymond 7-5 6-3. Number one men's seed Lleyton Hewitt begins his quest for a fourth Sydney title on Tuesday when he plays Karol Beck. Lindsay Davenport, top seed in the women's draw, has been handed a first-round bye and plays France's Dechy in the second round on Tuesday.
",sport
"Dent continues Adelaide progress

American Taylor Dent reached the final of the Australian hardcourt event in Adelaide with a crushing 6-1 6-1 win over Argentine Juan Ignacio Chela.

Dent will meet Swede Joachim Johansson on Sunday after the second seed survived a tense tie-break to defeat Belgium's Olivier Rochus 6-1 7-6 (7/5). Johansson, the boyfriend of Lleyton Hewitt's sister Jaslyn, received strong crowd support on Saturday. ""It feels like home for me, because Jaslyn lives here,"" said Johansson. Rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away. ""It was so close - one mistake like this and the match is over, it's tough. For me, it was clearly out,"" Rochus said.
",sport
"Ivanovic seals Canberra victory

Serbia's Ana Ivanovic captured her first WTA title with a straight-sets victory over Hungarian Melinda Czink in the final of the Canberra Classic.

The 17-year-old took 83 minutes to take the match 7-5 6-1. Ivanovic beat Czink in the last round of qualifying but the Hungarian made the main draw as a lucky loser after Katarina Srebotnik withdrew injured. Ivanovic said: ""I was really nervous in the beginning, but I pulled through and didn't do too much wrong."" A junior Wimbledon finalist last year, she added: ""It's my first WTA title, and to win it has really given me more energy to practice and improve."" Ivanovic will play 32nd seed Iveta Benesova of the Czech Republic in the first round.said of the Australian Open in Melbourne.
",sport
"Almagro continues Spanish surge

Unseeded Nicolas Almagro became the fifth Spaniard to reach the last eight at the Buenos Aires Open, ousting eighth seed Mariano Zabaleta.

He showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. Compatriot and seventh seed Rafael Nadal also reached the last eight, beating Italian Potito Starace 6-1 6-3. Nadal, playing in the outdoor clay event for the first time, hit some powerful forehands to oust Starace in a match delayed over an hour by rain. ""It's always a problem to have to stop for rain but one gets used to it,"" said Spanish teenager Nadal. ""Luckily, I was able to keep my pace going throughout the match."" He will now play Gaston Gaudio, who beat unseeded Brazilian Flavio Saretta 6-3 6-2 in the day's late match.
",sport
"Federer breezes into semi-finals

Roger Federer reached the last four of the Qatar Open with an easy 6-1 6-2 win over seventh seed Feliciano Lopez.

The Swiss world number one reeled off a series winners to outclass the Spaniard and set up a semi-final match against Russian Nikolay Davydenko. Federer, who lost in the quarter-final in his last Qatar appearance in 2003, was happy with his form. ""I think I played better than against Greg Rusedski and I am happy I am playing so well,"" said the top seed. Lopez showed glimpses of resolve early in the second set when he held his first service game and came close to breaking Federer. But the Swiss saved a break point and promptly broke serve in the following game to seize control. Davydenko, meanwhile, upset French third seed Sebastien Grosjean 2-6 6-3 6-2. Fabrice Santoro completed a miserable day for France when he was forced to retire when 6-2 3-0 down to Albert Costa. Spaniard Costa will next face Croatian Ivan Ljubicic after the sixth seed beat Rafael Nadal 6-2 6-7 (3/7) 6-3.
",sport
"Koubek suspended after drugs test

Stefan Koubek says he has been banned for three months by the International Tennis Federation (ITF) after testing positive for a banned substance.

The world number 60 failed a routine drugs test at this year's French Open but now plans to lodge an appeal. Koubek believes an injection given to him by an Austrian doctor to treat a wrist injury is to blame for producing traces of the substance in his system. ""I have acted correctly,"" the 27-year-old Austrian said in a statement. Koubek, who defeated Britain's Greg Rusedski in the decisive rubber of the Davis Cup in September, is now set to miss the start of the season. He said, ""A three-month ban would mean that I not only will miss the Australian Open, but also the Davis Cup in Australia.""
",sport
"Soderling wins tense Milan final

Fifth seed Robin Soderling took the Milan Indoors title with a dramatic win over Radek Stepanek in Sunday's final.

The 20-year-old Swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in Lyon last year. ""I'm delighted to have won against such a good opponent in a tournament of this importance,"" said Soderling. ""I was really on form, my service was good and I really liked playing on the synthetic surface."" Soderling, the world number 37, shrugged off a nervous start to take the opening set on his first set point. A change in approach from fourth seed Stepanek in the second set paid dividends as he took it on a tie-break, but Soderling's superior power proved too much in the third.
",sport
"Prodigy Monfils blows away Gaudio

French prodigy Gael Monfils underlined his huge promise by beating French Open champion Gaston Gaudio 6-4 7-6 (7-4) in the first round of the Qatar Open.

The 18-year-old wild card won three of the four junior Grand Slam events last year, including Wimbledon. Fabrice Santoro, the 2000 champion, beat Sweden's Thomas Johansson 6-4 6-2 but fourth seed Mikhail Youzhny lost 6-3 7-6 (7-3) to Rafael Nadal. Roger Federer plays Greg Rusedski in the second round on Wednesday. Monfils, who was given a wildcard into the tournament, said: ""This is my first win over a top 10 player and I am delighted. ""I play my best tennis when I am fired up on the court and the reason I won today was because I was able to play my natural, attacking game,"" he said. ""Of course I was a bit tired in the second set. But I was confident I could survive had there been a third set.""
",sport
"Capriati to miss Melbourne

Jennifer Capriati has become the third leading lady to withdraw from the Australian Open because of injury.

The organisers of the first grand slam of 2005, which begins on 17 January, said the American has a problem with her right shoulder. It comes as a blow to the women's draw as last year's champion, Justin Henin-Hardenne, and runner-up, Kim Clijsters, will also be absent. Capriati is a two-time champion in Melbourne with wins in 2001 and 2002. She is believed to have picked up the injury at the Advanta Championships at Philadelphia in November and had to pull out of an exhibition match with Wimbledon champion Maria Sharapova on 17 December. Capriati also decided against competing in the Australian Open warm-up event, the Sydney International.
",sport
"Capriati out of Australian Open

Jennifer Capriati has become the third leading lady to withdraw from the Australian Open because of injury.

The organisers of the first grand slam of 2005, which begins on 17 January, said the American has a problem with her right shoulder. It comes as a blow to the women's draw as last year's champion, Justin Henin-Hardenne, and runner-up, Kim Clijsters, will also be absent. Capriati is a two-time champion in Melbourne with wins in 2001 and 2002. She is believed to have picked up the injury at the Advanta Championships at Philadelphia in November and had to pull out of an exhibition match with Wimbledon champion Maria Sharapova on 17 December. Capriati also decided against competing in the Australian Open warm-up event, the Sydney International.
",sport
"Davenport puts retirement on hold

Lindsay Davenport has put any talk of retirement on hold after having a largely injury-free 2004 campaign.

The 28-year-old world number one had said that she would quit at the end of last year, but after a successful season she has had a change of heart. ""Finally I felt I put myself in a position to try and win Grand Slams again,"" said Davenport. ""It would be tough to walk away when I feel like I can contend so there's no point in hanging it up quite yet."" Davenport has won three Grand Slams, the 2000 Australian Open, Wimbledon in 1999 and the 1998 US Open. Her career has been hit by a series of injuries but last year she started hitting top form and won seven titles. She was due to take part in this week's Hopman Cup in Perth but decided she wanted to rest her knee. ""I just really wanted to make sure my right knee was going to be able to really withstand all the rigours of the whole year coming up,"" she said.
",sport
